id 	 q 	 e 	 i 	 peri 	 node 	 TD 	 ep 
387	0.0051	1.000	139.56	93.07	1.34	20260802.52708	20120815.000
388	0.0051	1.000	144.89	65.72	9.15	20260828.24914	20120815.000
389	0.0054	1.000	143.80	81.89	29.22	20311007.99715	20120815.000
390	0.0047	1.000	143.33	84.00	6.04	20270317.08019	20120815.000
391	0.0055	1.000	142.82	71.27	12.83	20240421.73699	20120815.000
392	0.0048	1.000	143.40	79.70	340.73	20260406.14216	20120815.000
393	0.0048	1.000	144.93	30.66	3.07	20301102.55697	20120815.000
394	0.0050	1.000	147.99	85.27	358.22	20221222.98326	20120815.000
395	0.0057	1.000	145.00	87.65	350.35	20291230.37709	20120815.000
396	0.0048	1.000	145.87	81.32	4.68	20300831.54980	20120815.000
397	0.0078	1.000	144.52	113.96	7.61	20250322.00294	20120815.000
398	0.0047	1.000	144.90	80.55	6.87	20230714.29396	20120815.000
399	0.0081	1.000	143.97	63.01	5.45	20310426.57545	20120815.000
400	0.0054	1.000	142.40	67.84	9.72	20270414.33927	20120815.000
401	0.0057	1.000	145.73	83.65	1.80	20250427.42322	20120815.000
402	0.0051	1.000	140.37	74.94	359.09	20221103.96351	20120815.000
403	0.0049	1.000	143.92	95.80	19.62	20220502.87552	20120815.000
404	0.0051	1.000	145.99	97.26	2.48	20220819.95990	20120815.000
405	0.0048	1.000	138.79	88.71	343.19	20250323.96882	20120815.000
406	0.0053	1.000	138.81	45.73	355.93	20250131.32844	20120815.000
407	0.0054	1.000	144.87	71.37	328.54	20230519.80256	20120815.000
408	0.0049	1.000	142.82	99.87	347.52	20291019.27324	20120815.000
409	0.0049	1.000	144.21	75.72	6.98	20250702.87094	20120815.000
410	0.0054	1.000	139.36	76.96	337.53	20220119.98679	20120815.000
411	0.0063	1.000	147.49	68.18	6.77	20310225.95353	20120815.000
412	0.0053	1.000	142.43	78.73	353.56	20280801.40729	20120815.000
413	0.0054	1.000	145.37	88.19	15.31	20300201.68816	20120815.000
414	0.0055	1.000	136.74	89.19	1.87	20310524.56675	20120815.000
415	0.0056	1.000	140.63	67.25	6.73	20300530.67292	20120815.000
416	0.0051	1.000	144.12	80.90	4.47	20281009.21936	20120815.000
417	0.0041	1.000	149.59	89.98	0.20	20270825.08037	20120815.000
418	0.0047	1.000	140.73	87.03	9.78	20271126.36723	20120815.000
419	0.0052	1.000	144.04	70.23	7.10	20241129.66573	20120815.000
420	0.0049	1.000	144.14	84.53	7.74	20310821.04817	20120815.000
421	0.0066	1.000	144.71	88.16	1.85	20271003.79560	20120815.000
422	0.0054	1.000	145.73	82.48	357.84	20270228.83861	20120815.000
423	0.0050	1.000	145.05	89.37	5.08	20260531.85382	20120815.000
424	0.0052	1.000	145.73	88.34	10.07	20240912.81762	20120815.000
425	0.0051	1.000	145.49	50.62	6.24	20260427.67853	20120815.000
426	0.0046	1.000	140.61	85.79	18.04	20270105.68699	20120815.000
427	0.0051	1.000	149.60	79.35	3.51	20250220.44336	20120815.000
428	0.0059	1.000	145.27	80.03	8.26	20220402.11042	20120815.000
429	0.0055	1.000	142.77	42.85	337.40	20310324.79794	20120815.000
430	0.0048	1.000	144.07	87.54	18.59	20261225.54531	20120815.000
431	0.0059	1.000	143.60	83.11	2.88	20220616.64883	20120815.000
432	0.0057	1.000	145.41	101.48	39.96	20230627.36397	20120815.000
433	0.0048	1.000	147.11	87.37	357.71	20230530.56293	20120815.000
434	0.0068	1.000	145.22	99.50	8.64	20310614.15348	20120815.000
435	0.0045	1.000	146.09	34.20	351.07	20271119.11815	20120815.000
436	0.0052	1.000	142.82	74.64	2.12	20300818.69397	20120815.000
437	0.0047	1.000	146.80	83.09	352.97	20240329.27758	20120815.000
438	0.0055	1.000	144.84	94.19	334.07	20270705.92463	20120815.000
439	0.0050	1.000	144.43	83.86	1.39	20250126.44921	20120815.000
440	0.0049	1.000	145.23	73.77	357.49	20260815.03198	20120815.000
441	0.0047	1.000	144.16	85.10	4.31	20220901.43025	20120815.000
442	0.0051	1.000	144.57	86.75	4.07	20291007.46681	20120815.000
443	0.0069	1.000	134.96	77.96	345.66	20290531.85208	20120815.000
444	0.0054	1.000	147.46	82.89	339.68	20311009.06429	20120815.000
445	0.0052	1.000	146.31	86.59	9.10	20240212.34027	20120815.000
446	0.0088	1.000	139.04	80.19	4.66	20290329.75536	20120815.000
447	0.0054	1.000	142.94	72.73	330.61	20271206.63282	20120815.000
448	0.0047	1.000	145.97	70.93	2.72	20280726.09307	20120815.000
449	0.0051	1.000	141.15	82.19	353.97	20230628.69110	20120815.000
450	0.0060	1.000	144.72	89.40	6.22	20221111.35942	20120815.000
451	0.0071	1.000	142.88	31.01	8.46	20270818.59332	20120815.000
452	0.0081	1.000	138.20	89.60	311.68	20250810.15285	20120815.000
453	0.0100	1.000	142.41	100.49	30.93	20310204.07030	20120815.000
454	0.0080	1.000	142.04	98.12	355.66	20300329.17063	20120815.000
455	0.0055	1.000	145.76	84.60	9.99	20231020.81000	20120815.000
456	0.0074	1.000	144.83	87.56	348.40	20240919.92104	20120815.000
457	0.0049	1.000	142.28	101.80	348.03	20290112.65145	20120815.000
458	0.0054	1.000	145.88	50.11	7.97	20300520.94169	20120815.000
459	0.0050	1.000	145.42	70.81	16.51	20241112.17873	20120815.000
460	0.0047	1.000	145.28	89.58	11.30	20280305.86001	20120815.000
461	0.0047	1.000	143.99	38.43	9.62	20260524.08898	20120815.000
462	0.0052	1.000	146.23	103.31	8.74	20280328.94712	20120815.000
463	0.0048	1.000	143.29	104.26	18.02	20250924.26207	20120815.000
464	0.0048	1.000	145.96	77.15	338.00	20260417.23681	20120815.000
465	0.0050	1.000	145.54	87.20	11.46	20300709.43198	20120815.000
466	0.0052	1.000	141.71	88.37	353.49	20280609.03572	20120815.000
467	0.0059	1.000	143.51	88.29	354.91	20300119.71990	20120815.000
468	0.0077	1.000	142.94	89.44	344.53	20241001.34045	20120815.000
469	0.0057	1.000	144.12	88.85	338.74	20240409.28547	20120815.000
470	0.0054	1.000	145.11	88.78	6.33	20251206.16314	20120815.000
471	0.0078	1.000	145.90	75.71	358.22	20310307.62922	20120815.000
472	0.0048	1.000	142.68	65.46	8.05	20280207.17293	20120815.000
473	0.0055	1.000	141.14	85.97	352.09	20310806.57729	20120815.000
474	0.0055	1.000	145.89	81.84	353.28	20230503.80784	20120815.000
475	0.0051	1.000	142.27	80.98	7.87	20271215.44106	20120815.000
476	0.0053	1.000	144.48	54.62	2.25	20220713.23814	20120815.000
477	0.0054	1.000	145.61	96.61	8.35	20261120.90264	20120815.000
478	0.0053	1.000	144.93	83.75	350.59	20260601.97216	20120815.000
479	0.0057	1.000	147.85	74.25	2.85	20300618.38185	20120815.000
480	0.0051	1.000	145.94	75.18	3.50	20310505.81416	20120815.000
481	0.0052	1.000	143.45	78.26	19.77	20240103.17868	20120815.000
482	0.0053	1.000	144.21	79.91	358.21	20290411.71528	20120815.000
483	0.0057	1.000	145.94	82.11	354.30	20310127.68476	20120815.000
484	0.0051	1.000	144.22	87.57	13.40	20280828.32963	20120815.000
485	0.0065	1.000	144.57	47.58	352.03	20240623.91514	20120815.000
486	0.0050	1.000	144.63	74.21	2.44	20220504.92134	20120815.000
487	0.0046	1.000	142.64	88.36	320.77	20310304.35186	20120815.000
488	0.0049	1.000	144.09	80.45	302.22	20260222.89998	20120815.000
489	0.0053	1.000	146.46	90.59	7.50	20280615.09615	20120815.000
490	0.0077	1.000	137.45	72.05	8.54	20291212.56654	20120815.000
491	0.0066	1.000	141.73	74.45	8.29	20250421.86398	20120815.000
492	0.0043	1.000	145.09	73.96	319.54	20290110.22728	20120815.000
493	0.0056	1.000	144.63	74.33	324.15	20270618.03187	20120815.000
494	0.0047	1.000	139.92	95.88	17.59	20220627.75375	20120815.000
495	0.0048	1.000	142.00	80.80	3.22	20230723.60896	20120815.000
496	0.0049	1.000	133.60	83.46	2.33	20280102.35800	20120815.000
497	0.0057	1.000	141.82	80.74	1.63	20220725.01854	20120815.000
498	0.0074	1.000	140.35	63.89	357.86	20250422.35660	20120815.000
499	0.0056	1.000	144.58	84.65	336.58	20231027.71847	20120815.000
500	0.0052	1.000	143.75	62.60	7.82	20240907.19164	20120815.000
501	0.0051	1.000	145.24	91.64	5.35	20310610.69066	20120815.000
502	0.0052	1.000	141.84	81.90	5.65	20240416.97243	20120815.000
503	0.0051	1.000	142.09	83.94	29.25	20271021.24073	20120815.000
504	0.0049	1.000	144.48	71.46	23.51	20271210.77317	20120815.000
505	0.0052	1.000	145.77	78.37	7.58	20310125.64381	20120815.000
506	0.0049	1.000	135.28	80.64	8.82	20250122.97815	20120815.000
507	0.0048	1.000	145.80	71.37	12.93	20241028.82655	20120815.000
508	0.0052	1.000	134.56	81.01	350.73	20250622.20209	20120815.000
509	0.0054	1.000	145.95	62.32	4.47	20301026.58913	20120815.000
510	0.0067	1.000	145.64	90.44	5.82	20290223.61023	20120815.000
511	0.0047	1.000	146.40	85.12	333.13	20221228.13491	20120815.000
512	0.0053	1.000	143.39	71.91	12.19	20281001.28696	20120815.000
513	0.0054	1.000	144.83	73.12	0.48	20220122.69546	20120815.000
514	0.0052	1.000	133.51	98.43	7.38	20290917.92801	20120815.000
515	0.0053	1.000	145.40	75.80	343.88	20271104.93428	20120815.000
516	0.0049	1.000	143.75	43.11	8.32	20241227.23810	20120815.000
517	0.0055	1.000	143.62	87.43	3.86	20310905.61294	20120815.000
518	0.0056	1.000	138.32	89.85	7.34	20300208.64428	20120815.000
519	0.0052	1.000	146.08	81.31	27.20	20290321.16745	20120815.000
520	0.0055	1.000	144.89	75.33	338.24	20280704.26275	20120815.000
521	0.0054	1.000	142.33	74.55	337.78	20261207.31644	20120815.000
522	0.0075	1.000	146.00	61.05	354.92	20280608.22425	20120815.000
523	0.0054	1.000	142.33	88.69	1.68	20291221.78878	20120815.000
524	0.0054	1.000	145.89	37.45	350.90	20261130.22971	20120815.000
525	0.0064	1.000	143.20	60.03	13.49	20291223.47965	20120815.000
526	0.0052	1.000	144.77	82.44	355.75	20280317.81656	20120815.000
527	0.0057	1.000	145.95	101.16	357.16	20281012.77079	20120815.000
528	0.0055	1.000	145.64	80.15	0.17	20280226.84942	20120815.000
529	0.0064	1.000	143.81	78.04	12.06	20301221.09634	20120815.000
530	0.0080	1.000	136.46	81.67	12.80	20300720.42361	20120815.000
531	0.0058	1.000	147.50	81.61	357.75	20280314.30395	20120815.000
532	0.0050	1.000	145.90	84.50	357.70	20300501.84551	20120815.000
533	0.0050	1.000	141.74	88.04	15.94	20260911.51510	20120815.000
534	0.0050	1.000	145.06	71.15	6.44	20240619.77310	20120815.000
535	0.0055	1.000	146.96	84.48	351.29	20290731.69300	20120815.000
536	0.0052	1.000	132.90	81.59	4.59	20311230.82323	20120815.000
537	0.0046	1.000	136.08	86.90	357.72	20260115.59443	20120815.000
538	0.0047	1.000	144.47	86.25	12.34	20231112.38148	20120815.000
539	0.0066	1.000	132.42	103.46	14.33	20260404.54347	20120815.000
540	0.0051	1.000	143.60	89.03	10.21	20301002.19883	20120815.000
541	0.0057	1.000	144.04	80.22	351.19	20270711.71748	20120815.000
542	0.0059	1.000	145.26	97.46	355.64	20290417.41332	20120815.000
543	0.0062	1.000	143.52	85.81	1.51	20240122.36089	20120815.000
544	0.0063	1.000	144.15	76.89	335.03	20280725.29016	20120815.000
545	0.0084	1.000	145.57	73.53	4.83	20260911.21699	20120815.000
546	0.0051	1.000	147.21	68.41	354.20	20281003.72711	20120815.000
547	0.0053	1.000	144.54	65.38	352.75	20241013.17834	20120815.000
548	0.0051	1.000	142.19	79.50	7.03	20240322.16865	20120815.000
549	0.0051	1.000	147.85	88.81	354.71	20301226.14405	20120815.000
550	0.0054	1.000	142.86	52.52	4.68	20300208.14777	20120815.000
551	0.0054	1.000	145.96	79.03	12.04	20291027.12734	20120815.000
552	0.0075	1.000	144.36	62.36	5.18	20240802.98544	20120815.000
553	0.0080	1.000	138.83	81.94	356.84	20260226.69516	20120815.000
554	0.0075	1.000	143.67	92.97	4.73	20310718.93554	20120815.000
555	0.0052	1.000	147.96	88.50	354.37	20310805.26406	20120815.000
556	0.0053	1.000	142.90	89.34	10.74	20240306.85052	20120815.000
557	0.0059	1.000	144.03	93.79	357.44	20250509.67532	20120815.000
558	0.0046	1.000	145.77	88.32	347.89	20300920.89843	20120815.000
559	0.0060	1.000	145.63	84.47	330.85	20231106.31692	20120815.000
560	0.0053	1.000	145.98	84.02	331.41	20260630.51483	20120815.000
561	0.0053	1.000	145.43	99.56	6.63	20290304.18715	20120815.000
562	0.0055	1.000	144.20	79.23	4.01	20240516.86441	20120815.000
563	0.0047	1.000	146.18	79.02	13.87	20240919.38645	20120815.000
564	0.0054	1.000	145.48	86.56	346.22	20240616.17487	20120815.000
565	0.0052	1.000	142.94	76.49	18.93	20311012.37209	20120815.000
566	0.0053	1.000	142.67	80.11	5.94	20230309.13856	20120815.000
567	0.0054	1.000	133.77	88.70	309.92	20300906.88247	20120815.000
568	0.0059	1.000	143.64	92.06	339.68	20220331.94361	20120815.000
569	0.0042	1.000	143.47	88.78	7.03	20240613.19682	20120815.000
570	0.0077	1.000	145.53	73.17	9.11	20310911.68892	20120815.000
571	0.0067	1.000	138.54	74.77	5.28	20240803.94411	20120815.000
572	0.0053	1.000	136.22	66.89	344.01	20270326.95501	20120815.000
573	0.0052	1.000	146.60	84.74	8.00	20280111.94214	20120815.000
574	0.0052	1.000	144.61	66.42	6.16	20230927.56090	20120815.000
575	0.0053	1.000	144.12	99.52	13.23	20260518.14983	20120815.000
576	0.0047	1.000	131.24	81.31	342.97	20310311.65286	20120815.000
577	0.0076	1.000	142.00	97.64	17.47	20300722.06022	20120815.000
578	0.0051	1.000	144.47	82.08	9.07	20250308.31110	20120815.000
579	0.0075	1.000	139.86	85.54	8.28	20230315.57049	20120815.000
580	0.0048	1.000	143.97	82.53	341.91	20310826.05560	20120815.000
581	0.0072	1.000	144.94	77.84	356.36	20241214.27517	20120815.000
582	0.0082	1.000	142.75	88.24	8.84	20291005.58241	20120815.000
583	0.0062	1.000	144.35	75.65	355.09	20240126.05848	20120815.000
584	0.0048	1.000	144.81	84.23	25.72	20310122.85043	20120815.000
585	0.0082	1.000	145.11	74.50	358.68	20250712.70120	20120815.000
586	0.0086	1.000	143.09	93.96	322.55	20291201.04087	20120815.000
587	0.0053	1.000	143.32	87.11	355.74	20270527.94903	20120815.000
588	0.0052	1.000	139.29	83.24	12.90	20270418.00341	20120815.000
589	0.0051	1.000	144.69	86.95	331.56	20250615.58722	20120815.000
590	0.0046	1.000	147.09	74.82	3.73	20230911.34179	20120815.000
591	0.0052	1.000	144.06	81.32	357.43	20240129.00112	20120815.000
592	0.0071	1.000	147.86	80.20	3.69	20290414.04409	20120815.000
593	0.0054	1.000	145.04	83.67	0.80	20220325.19722	20120815.000
594	0.0074	1.000	141.33	78.96	7.49	20240721.64572	20120815.000
595	0.0052	1.000	143.93	85.41	3.83	20300816.04076	20120815.000
596	0.0053	1.000	142.25	88.87	7.50	20261015.69693	20120815.000
597	0.0054	1.000	145.50	75.89	15.00	20231228.93878	20120815.000
598	0.0051	1.000	144.32	89.09	3.99	20230323.12176	20120815.000
599	0.0059	1.000	135.64	50.44	351.70	20310220.32701	20120815.000
600	0.0050	1.000	144.50	85.06	18.63	20300503.65787	20120815.000
601	0.0050	1.000	145.13	87.64	18.44	20280530.92795	20120815.000
602	0.0051	1.000	142.46	89.70	2.57	20270502.24303	20120815.000
603	0.0051	1.000	144.33	82.69	2.80	20220316.52597	20120815.000
604	0.0053	1.000	145.94	72.69	4.30	20230513.90877	20120815.000
605	0.0047	1.000	144.49	87.69	9.72	20221230.75465	20120815.000
606	0.0045	1.000	131.31	82.36	315.79	20240424.73177	20120815.000
607	0.0052	1.000	144.76	84.46	9.94	20240109.80081	20120815.000
608	0.0058	1.000	139.94	87.67	319.41	20220103.79955	20120815.000
609	0.0058	1.000	142.33	76.69	8.20	20221228.20057	20120815.000
610	0.0049	1.000	136.47	82.56	3.77	20270930.46501	20120815.000
611	0.0078	1.000	145.63	82.52	9.69	20260426.55819	20120815.000
612	0.0046	1.000	134.16	83.00	13.11	20220606.51578	20120815.000
613	0.0053	1.000	144.88	84.85	330.31	20310609.47815	20120815.000
614	0.0049	1.000	141.51	84.24	0.24	20250120.31965	20120815.000
615	0.0041	1.000	143.24	80.55	9.93	20280225.80145	20120815.000
616	0.0076	1.000	149.84	75.98	343.35	20310305.46667	20120815.000
617	0.0054	1.000	145.06	88.54	30.13	20270620.25771	20120815.000
618	0.0052	1.000	139.80	72.65	5.95	20301228.85946	20120815.000
619	0.0051	1.000	145.67	83.87	4.39	20221210.24243	20120815.000
620	0.0059	1.000	142.89	66.24	11.29	20301206.83530	20120815.000
621	0.0053	1.000	140.04	84.70	354.09	20290926.63693	20120815.000
622	0.0054	1.000	144.56	50.78	351.19	20230914.84027	20120815.000
623	0.0051	1.000	145.28	73.81	1.11	20300119.80359	20120815.000
624	0.0058	1.000	147.60	83.72	353.94	20231201.21167	20120815.000
625	0.0054	1.000	144.03	88.78	4.84	20240821.97740	20120815.000
626	0.0063	1.000	147.68	70.61	338.08	20280601.60193	20120815.000
627	0.0053	1.000	145.96	67.52	326.69	20311026.07784	20120815.000
628	0.0077	1.000	143.04	88.73	5.28	20240723.59333	20120815.000
629	0.0052	1.000	145.01	86.86	8.86	20240926.88380	20120815.000
630	0.0045	1.000	140.29	90.97	356.33	20231110.49795	20120815.000
631	0.0048	1.000	141.65	88.47	1.72	20230713.70853	20120815.000
632	0.0053	1.000	145.20	79.99	4.01	20250904.47249	20120815.000
633	0.0051	1.000	144.03	88.17	342.20	20241111.86693	20120815.000
634	0.0047	1.000	144.85	50.97	323.16	20220721.78424	20120815.000
635	0.0051	1.000	138.01	89.75	15.09	20260529.44918	20120815.000
636	0.0044	1.000	144.64	95.26	26.02	20300925.90016	20120815.000
637	0.0048	1.000	145.94	86.58	347.20	20280106.50161	20120815.000
638	0.0051	1.000	142.97	89.21	341.38	20230318.39603	20120815.000
639	0.0073	1.000	146.18	87.95	2.45	20310403.88062	20120815.000
640	0.0056	1.000	142.32	68.35	6.66	20240709.91449	20120815.000
641	0.0053	1.000	143.31	63.76	5.54	20231025.13770	20120815.000
642	0.0062	1.000	144.27	87.81	358.30	20290811.31269	20120815.000
643	0.0051	1.000	145.71	89.27	347.68	20281205.11161	20120815.000
644	0.0052	1.000	145.76	82.62	9.04	20240923.16242	20120815.000
645	0.0052	1.000	141.34	86.40	341.43	20301126.42892	20120815.000
646	0.0050	1.000	139.29	79.21	7.17	20291220.37124	20120815.000
647	0.0054	1.000	144.22	92.94	8.43	20220207.30068	20120815.000
648	0.0064	1.000	144.16	88.89	359.40	20240712.72147	20120815.000
649	0.0057	1.000	144.02	89.34	328.05	20240807.22181	20120815.000
650	0.0059	1.000	141.29	85.31	18.22	20251004.29556	20120815.000
651	0.0066	1.000	146.06	83.21	11.65	20290419.98851	20120815.000
652	0.0076	1.000	144.73	82.71	337.27	20270408.61685	20120815.000
653	0.0049	1.000	145.98	68.34	6.65	20291202.56977	20120815.000
654	0.0052	1.000	141.87	83.01	6.85	20221009.56361	20120815.000
655	0.0054	1.000	144.05	89.88	9.90	20240207.06859	20120815.000
656	0.0052	1.000	142.19	76.51	1.09	20261110.31917	20120815.000
657	0.0051	1.000	144.79	74.95	13.93	20310424.05723	20120815.000
658	0.0059	1.000	142.47	108.02	15.74	20251218.22356	20120815.000
659	0.0053	1.000	145.87	97.22	0.46	20300707.49332	20120815.000
660	0.0046	1.000	145.06	85.17	347.47	20240701.63044	20120815.000
661	0.0044	1.000	142.35	100.78	351.03	20261115.49995	20120815.000
662	0.0054	1.000	142.08	77.09	326.32	20250728.67346	20120815.000
663	0.0054	1.000	145.35	89.60	1.27	20250112.07355	20120815.000
664	0.0048	1.000	147.43	91.29	5.04	20230215.01324	20120815.000
665	0.0052	1.000	143.46	86.59	7.73	20300803.32397	20120815.000
666	0.0071	1.000	142.43	87.72	6.11	20250911.24947	20120815.000
667	0.0054	1.000	143.22	82.56	27.25	20300422.99319	20120815.000
668	0.0047	1.000	144.45	82.20	8.85	20250501.07432	20120815.000
669	0.0053	1.000	142.04	87.00	14.11	20281128.67017	20120815.000
670	0.0051	1.000	144.47	76.36	344.15	20281126.08576	20120815.000
671	0.0051	1.000	143.46	87.20	9.79	20271128.50301	20120815.000
672	0.0046	1.000	142.32	82.17	346.21	20290504.47509	20120815.000
673	0.0054	1.000	144.67	74.59	349.50	20220922.56032	20120815.000
674	0.0054	1.000	145.75	41.59	357.97	20260529.95381	20120815.000
675	0.0051	1.000	143.75	70.40	8.64	20240422.95433	20120815.000
676	0.0049	1.000	141.45	88.47	16.14	20261021.94446	20120815.000
677	0.0053	1.000	140.43	77.46	323.98	20250115.83648	20120815.000
678	0.0054	1.000	142.86	56.01	358.68	20220915.59973	20120815.000
679	0.0061	1.000	145.13	99.59	7.86	20260518.97815	20120815.000
680	0.0052	1.000	130.10	93.48	24.97	20281129.91407	20120815.000
681	0.0061	1.000	144.42	83.96	322.15	20231125.72550	20120815.000
682	0.0051	1.000	145.46	89.37	2.59	20250516.14201	20120815.000
683	0.0054	1.000	144.17	79.77	5.78	20281112.24715	20120815.000
684	0.0071	1.000	138.40	77.86	7.60	20250613.47098	20120815.000
685	0.0056	1.000	143.87	83.92	3.49	20270315.21788	20120815.000
686	0.0065	1.000	145.22	90.42	8.53	20231204.88642	20120815.000
687	0.0052	1.000	145.81	76.90	7.38	20251115.48794	20120815.000
688	0.0050	1.000	145.93	94.70	5.11	20291202.13213	20120815.000
689	0.0074	1.000	142.88	70.18	19.92	20260904.80277	20120815.000
690	0.0082	1.000	143.33	75.49	4.82	20290211.95539	20120815.000
691	0.0048	1.000	138.81	80.82	7.97	20220818.54300	20120815.000
692	0.0048	1.000	142.43	74.54	2.57	20310408.23015	20120815.000
693	0.0054	1.000	144.07	71.46	344.35	20251027.29206	20120815.000
694	0.0052	1.000	144.08	88.10	320.19	20240106.01047	20120815.000
695	0.0054	1.000	142.84	67.21	320.68	20291017.44220	20120815.000
696	0.0055	1.000	138.07	77.91	8.90	20250324.96830	20120815.000
697	0.0078	1.000	145.06	81.89	13.55	20260902.95579	20120815.000
698	0.0050	1.000	145.76	85.63	353.44	20270805.89315	20120815.000
699	0.0052	1.000	144.57	79.34	0.32	20240831.20316	20120815.000
700	0.0054	1.000	144.84	80.21	342.43	20310628.24775	20120815.000
701	0.0054	1.000	139.32	53.85	4.99	20220209.19122	20120815.000
702	0.0089	1.000	142.45	91.65	350.32	20270806.39406	20120815.000
703	0.0057	1.000	144.96	81.90	359.84	20260601.57874	20120815.000
704	0.0084	1.000	142.10	73.78	7.76	20231220.40440	20120815.000
705	0.0054	1.000	142.36	95.46	8.62	20290526.05962	20120815.000
706	0.0083	1.000	146.95	96.28	5.96	20221209.23573	20120815.000
707	0.0052	1.000	142.75	82.06	28.43	20230503.54604	20120815.000
708	0.0060	1.000	145.04	70.81	343.20	20230118.26125	20120815.000
709	0.0046	1.000	143.89	88.85	15.00	20310901.85200	20120815.000
710	0.0064	1.000	143.03	72.01	353.41	20230826.47013	20120815.000
711	0.0071	1.000	144.71	70.46	5.75	20310423.13998	20120815.000
712	0.0049	1.000	145.85	96.63	352.99	20290316.32072	20120815.000
713	0.0087	1.000	143.45	87.25	8.20	20220918.12796	20120815.000
714	0.0046	1.000	145.64	89.97	3.14	20220831.83105	20120815.000
715	0.0076	1.000	143.71	64.65	2.04	20240710.87873	20120815.000
716	0.0045	1.000	147.24	86.04	358.04	20260410.18924	20120815.000
717	0.0059	1.000	144.53	82.35	4.39	20270101.40588	20120815.000
718	0.0057	1.000	149.78	97.01	5.21	20241003.97019	20120815.000
719	0.0053	1.000	137.81	89.46	358.36	20220112.68012	20120815.000
720	0.0047	1.000	142.94	81.25	337.36	20291026.56080	20120815.000
721	0.0053	1.000	142.57	86.15	9.87	20270104.74826	20120815.000
722	0.0051	1.000	146.06	68.36	11.10	20220210.25442	20120815.000
723	0.0053	1.000	148.67	85.74	344.77	20291119.69520	20120815.000
724	0.0054	1.000	140.72	71.94	2.98	20270430.44104	20120815.000
725	0.0054	1.000	135.65	94.49	350.49	20290702.26976	20120815.000
726	0.0052	1.000	144.93	84.96	310.75	20280320.31784	20120815.000
727	0.0054	1.000	145.21	80.27	2.42	20260910.07524	20120815.000
728	0.0046	1.000	142.68	89.27	14.74	20240121.08793	20120815.000
729	0.0052	1.000	147.45	82.99	0.14	20270518.61729	20120815.000
730	0.0074	1.000	147.83	80.39	14.96	20241129.48030	20120815.000
731	0.0070	1.000	142.19	81.11	358.64	20250918.97552	20120815.000
732	0.0056	1.000	144.09	72.58	9.69	20230717.48729	20120815.000
733	0.0051	1.000	144.55	56.56	9.23	20250109.51001	20120815.000
734	0.0054	1.000	143.85	65.60	1.43	20250224.45270	20120815.000
735	0.0054	1.000	144.96	73.58	16.36	20250601.28626	20120815.000
736	0.0052	1.000	142.98	80.80	2.14	20280606.09285	20120815.000
737	0.0054	1.000	145.55	83.19	36.32	20290327.64161	20120815.000
738	0.0052	1.000	144.57	72.64	6.18	20230626.40998	20120815.000
739	0.0052	1.000	144.99	81.69	10.68	20301102.06716	20120815.000
740	0.0057	1.000	145.36	79.50	5.00	20231211.10266	20120815.000
741	0.0059	1.000	145.65	74.85	350.11	20301125.80793	20120815.000
742	0.0050	1.000	144.39	81.91	39.41	20300204.59228	20120815.000
743	0.0050	1.000	144.21	77.40	17.46	20240518.66653	20120815.000
744	0.0053	1.000	142.31	87.80	5.34	20280509.94150	20120815.000
745	0.0061	1.000	145.86	66.27	6.87	20310916.32921	20120815.000
746	0.0072	1.000	143.13	94.70	7.29	20230717.88237	20120815.000
747	0.0053	1.000	139.46	67.74	353.62	20270511.69319	20120815.000
748	0.0050	1.000	138.30	88.74	7.75	20270119.88597	20120815.000
749	0.0050	1.000	145.06	65.99	326.20	20260406.74910	20120815.000
750	0.0080	1.000	144.71	48.61	19.08	20240101.94894	20120815.000
751	0.0054	1.000	142.51	76.51	333.50	20250115.11503	20120815.000
752	0.0058	1.000	144.67	89.04	17.17	20260206.33517	20120815.000
753	0.0058	1.000	142.57	48.66	6.41	20301114.85167	20120815.000
754	0.0046	1.000	142.22	93.12	331.70	20280104.15755	20120815.000
755	0.0050	1.000	145.96	79.57	4.20	20310827.71020	20120815.000
756	0.0062	1.000	144.52	83.72	10.30	20290413.55984	20120815.000
757	0.0052	1.000	144.67	89.36	1.30	20220110.69545	20120815.000
758	0.0046	1.000	147.94	84.89	344.56	20280202.75785	20120815.000
759	0.0059	1.000	142.55	67.90	9.39	20270531.64947	20120815.000
760	0.0066	1.000	142.05	82.96	5.07	20270725.49084	20120815.000
761	0.0073	1.000	144.38	66.62	0.89	20280602.19963	20120815.000
762	0.0049	1.000	143.70	63.42	3.47	20251104.80209	20120815.000
763	0.0052	1.000	138.45	71.54	10.51	20231221.83328	20120815.000
764	0.0050	1.000	144.12	88.97	343.39	20300228.15211	20120815.000
765	0.0052	1.000	144.63	83.27	356.41	20310704.17448	20120815.000
766	0.0086	1.000	143.66	71.93	19.47	20240719.63819	20120815.000
767	0.0059	1.000	147.06	66.65	7.43	20241217.51319	20120815.000
768	0.0059	1.000	143.76	83.95	2.86	20310914.03903	20120815.000
769	0.0048	1.000	146.48	72.13	1.44	20291013.28837	20120815.000
770	0.0051	1.000	144.82	71.43	21.44	20301011.92367	20120815.000
771	0.0056	1.000	145.26	82.64	4.76	20240301.65546	20120815.000
772	0.0074	1.000	143.81	93.80	20.40	20250101.96455	20120815.000
773	0.0053	1.000	142.89	85.95	6.67	20270825.53722	20120815.000
